member_id,full_name,first_name,last_name,membership_type,membership_from,party
435,Lord Brady of Altrincham,Brady,of Altrincham,,Life peer,Conservative
3514,Lord Bragg,Bragg,,,Life peer,Labour
3979,Baroness Bray of Coln,Bray,of Coln,,Life peer,Conservative
2550,Lord Brennan,Brennan,,,Life peer,Non-affiliated
1400,Lord Brennan of Canton,Brennan,of Canton,,Life peer,Labour
3515,Viscount Bridgeman,Bridgeman,,,Excepted Hereditary,Conservative
4535,Lord Bridges of Headley,Bridges,of Headley,,Life peer,Conservative
4241,Baroness Brinton,Brinton,,,Life peer,Liberal Democrat
4709,The Lord Bishop of Bristol,The,Lord Bishop of Bristol,,Bishops,Bishops
3335,Lord Brooke of Alverthorpe,Brooke,of Alverthorpe,,Life peer,Labour
3333,Viscount Brookeborough,Brookeborough,,,Excepted Hereditary,Crossbench
4565,Baroness Brown of Cambridge,Brown,of Cambridge,,Life peer,Crossbench
1583,Baroness Brown of Silvertown,Brown,of Silvertown,,Life peer,Labour
3801,Lord Browne of Belmont,Browne,of Belmont,,Life peer,Democratic Unionist Party
620,Lord Browne of Ladyton,Browne,of Ladyton,,Life peer,Labour
2172,Lord Browne of Madingley,Browne,of Madingley,,Life peer,Crossbench
236,Baroness Browning,Browning,,,Life peer,Conservative
4720,Lord Brownlow of Shurlock Row,Brownlow,of Shurlock Row,,Life peer,Conservative
615,Lord Bruce of Bennachie,Bruce,of Bennachie,,Life peer,Liberal Democrat
4706,Baroness Bull,Bull,,,Life peer,Crossbench
238,Lord Burnett,Burnett,,,Life peer,Liberal Democrat
4691,Lord Burnett of Maldon,Burnett,of Maldon,,Life peer,Crossbench
3351,Lord Burns,Burns,,,Life peer,Crossbench
1567,Baroness Burt of Solihull,Burt,of Solihull,,Life peer,Liberal Democrat
3349,Baroness Buscombe,Buscombe,,,Life peer,Conservative
3337,Lord Butler of Brockwell,Butler,of Brockwell,,Life peer,Crossbench
3804,Baroness Butler-Sloss,Butler-Sloss,,,Life peer,Crossbench
4581,Lord Caine,Caine,,,Life peer,Conservative
5391,Baroness Caine of Kentish Town,Caine,of Kentish Town,,Life peer,Labour
3310,The Earl of Caithness,The,Earl of Caithness,,Excepted Hereditary,Conservative
4336,Lord Callanan,Callanan,,,Life peer,Conservative
1467,Lord Cameron of Chipping Norton,Cameron,of Chipping Norton,,Life peer,Conservative
3705,Lord Cameron of Dillington,Cameron,of Dillington,,Life peer,Crossbench
5012,Lord Cameron of Lochiel,Cameron,of Lochiel,,Life peer,Conservative
5005,Lord Camoys,Camoys,,,Excepted Hereditary,Conservative
3871,Baroness Campbell of Loughborough,Campbell,of Loughborough,,Life peer,Crossbench
627,Lord Campbell of Pittenweem,Campbell,of Pittenweem,,Life peer,Liberal Democrat
3831,Baroness Campbell of Surbiton,Campbell,of Surbiton,,Life peer,Crossbench
499,Lord Campbell-Savours,Campbell-Savours,,,Life peer,Labour
4939,Viscount Camrose,Camrose,,,Excepted Hereditary,Conservative
5390,Baroness Carberry of Muswell Hill,Carberry,of Muswell Hill,,Life peer,Labour
2205,Lord Carey of Clifton,Carey,of Clifton,,Life peer,Crossbench
1138,Lord Carlile of Berriew,Carlile,of Berriew,,Life peer,Crossbench
4712,Lord Carrington,Carrington,,,Excepted Hereditary,Crossbench
1206,Lord Carrington of Fulham,Carrington,of Fulham,,Life peer,Conservative
3680,Lord Carter of Coles,Carter,of Coles,,Life peer,Labour
4732,Lord Carter of Haslemere,Carter,of Haslemere,,Life peer,Crossbench
5408,Lord Case,Case,,,Life peer,Crossbench
4896,Baroness Casey of Blackstock,Casey,of Blackstock,,Life peer,Crossbench
5387,Baroness Cash,Cash,,,Life peer,Conservative
4340,Lord Cashman,Cashman,,,Life peer,Non-affiliated
5369,Baroness Cass,Cass,,,Life peer,Crossbench
