member_id,full_name,first_name,last_name,constituency_name,party
5338,Terry Jermy,Terry,Jermy,South West Norfolk,Labour
5168,Adam Jogee,Adam,Jogee,Newcastle-under-Lyme,Labour
4592,Dr Caroline Johnson,Caroline,Johnson,Sleaford and North Hykeham,Conservative
1533,Dame Diana Johnson,Diana,Johnson,Kingston upon Hull North and Cottingham,Labour
4824,Kim Johnson,Kim,Johnson,Liverpool Riverside,Labour
5207,Clive Jones,Clive,Jones,Wokingham,Liberal Democrat
4621,Darren Jones,Darren,Jones,Bristol North West,Labour
4501,Gerald Jones,Gerald,Jones,Merthyr Tydfil and Aberdare,Labour
5043,Lillian Jones,Lillian,Jones,Kilmarnock and Loudoun,Labour
5258,Louise Jones,Louise,Jones,North East Derbyshire,Labour
4716,Ruth Jones,Ruth,Jones,Newport West and Islwyn,Labour
4631,Sarah Jones,Sarah,Jones,Croydon West,Labour
5332,Lincoln Jopp,Lincoln,Jopp,Spelthorne,Conservative
5059,Gurinder Singh Josan,Gurinder,Singh Josan,Smethwick,Labour
5247,Sojan Joseph,Sojan,Joseph,Ashford,Labour
5230,Warinder Juss,Warinder,Juss,Wolverhampton West,Labour
5155,Chris Kane,Chris,Kane,Stirling and Strathallan,Labour
4316,Mike Kane,Mike,Kane,Wythenshawe and Sale East,Labour
5271,Satvir Kaur,Satvir,Kaur,Southampton Test,Labour
4805,Alicia Kearns,Alicia,Kearns,Rutland and Stamford,Conservative
4026,Liz Kendall,Liz,Kendall,Leicester West,Labour
4671,Afzal Khan,Afzal,Khan,Manchester Rusholme,Labour
5357,Ayoub Khan,Ayoub,Khan,Birmingham Perry Barr,Independent
5215,Naushabah Khan,Naushabah,Khan,Gillingham and Rainham,Labour
4359,Stephen Kinnock,Stephen,Kinnock,Aberafan Maesteg,Labour
5279,Jayne Kirkham,Jayne,Kirkham,Truro and Falmouth,Labour (Co-op)
5011,Gen Kitchen,Gen,Kitchen,Wellingborough and Rushden,Labour
5321,Mr Paul Kohler,Paul,Kohler,Wimbledon,Liberal Democrat
4858,Danny Kruger,Danny,Kruger,East Wiltshire,Conservative
5274,Sonia Kumar,Sonia,Kumar,Dudley,Labour
5278,Uma Kumaran,Uma,Kumaran,Stratford and Bow,Labour
4505,Peter Kyle,Peter,Kyle,Hove and Portslade,Labour
5341,Laura Kyrke-Smith,Laura,Kyrke-Smith,Aylesbury,Labour
4630,Ben Lake,Ben,Lake,Ceredigion Preseli,Plaid Cymru
5285,Katie Lam,Katie,Lam,Weald of Kent,Conservative
5345,Peter Lamb,Peter,Lamb,Crawley,Labour
206,Mr David Lammy,David,Lammy,Tottenham,Labour
4608,John Lamont,John,Lamont,"Berwickshire, Roxburgh and Selkirk",Conservative
4139,Ian Lavery,Ian,Lavery,Blyth and Ashington,Labour
4403,Chris Law,Chris,Law,Dundee Central,Scottish National Party
